PROPOSAL_NO,PI_ID,COLLEGE_TEXT,SPONSOR_NAME,PROPOSAL_TYPE_CD,SUBMIT_DT,REQUEST_AMT,PROP_STATUS_CD,AWARD_NO,AWARD_AMT,DECISION_DT,AWARD_START_DT,AWARD_END_DT,EXTRACT_TS
LP-2025-00525,I1113,School of Law and Public Policy,Faculty Seed Grant Program,TRN,20251015,15000.00,AWD,LA-2025-00525,9400.00,20251216,20260120,20280120,20260831 235900
LP-2023-00526,I1011,College of Social Innovation,Global Health Foundation,RES,20230307,67300.00,CLS,LA-2023-00526,60500.00,20230415,20230603,20250602,20260831 235900
LP-2025-00527,I1069,School of Business,Community Wellbeing Trust,RES,20251016,87600.00,ACT,LA-2025-00527,68600.00,20260105,20260218,20270812,20260831 235900
LP-2025-00528,I1078,College of Science,Community Wellbeing Trust,TRN,20250915,75400.00,ACT,LA-2025-00528,55700.00,20260306,20260416,20271008,20260831 235900
LP-2023-00529,I1013,School of Business,Community Wellbeing Trust,RES,20231123,102700.00,DCL,,0.00,20240420,,,20260831 235900
LP-2024-00530,I1029,School of Business,Advanced Technology Agency,INT,20240520,313300.00,ACT,LA-2024-00530,286500.00,20241115,20241221,20271221,20260831 235900
LP-2026-00531,I1045,School of Business,Global Health Foundation,EQP,20260510,210700.00,DCL,,0.00,20260617,,,20260831 235900
LP-2023-00532,I1051,College of Social Innovation,Northstar Analytics,TRN,20231019,56200.00,WD,,0.00,20231207,,,20260831 235900
LP-2023-00533,I1026,College of Engineering,Vertex Mobility Systems,RES,20231215,128500.00,DCL,,0.00,20240423,,,20260831 235900
LP-2024-00534,I1073,School of Law and Public Policy,Interdisciplinary Catalyst Fund,RES,20240605,550300.00,DCL,,0.00,20240720,,,20260831 235900
LP-2024-00535,I1129,School of Law and Public Policy,Natural Sciences Research Council,RES,20240601,52100.00,DCL,,0.00,20240911,,,20260831 235900
LP-2023-00536,I1119,College of Health Sciences,Advanced Technology Agency,RES,20231015,311400.00,ACT,LA-2023-00536,310900.00,20240127,20240223,20250222,20260831 235900
LP-2025-00537,I1132,College of Humanities,Interdisciplinary Catalyst Fund,TRN,20250406,213400.00,ACT,LA-2025-00537,201300.00,20250611,20250712,20270103,20260831 235900
LP-2024-00538,I1179,College of Social Innovation,Helix Medical Devices,INT,20240201,309300.00,ACT,LA-2024-00538,227700.00,20240416,20240504,20251026,20260831 235900
LP-2026-00539,I1178,College of Engineering,Internal Strategic Research Fund,RES,20260812,165700.00,REV,,0.00,,,,20260831 235900
LP-2024-00540,I1093,School of Business,Northstar Analytics,RES,20240204,74000.00,WD,,0.00,20240704,,,20260831 235900
LP-2024-00541,I1161,School of Law and Public Policy,Future Cities Foundation,RES,20240225,154400.00,ACT,LA-2024-00541,128600.00,20240423,20240601,20250601,20260831 235900
LP-2025-00542,I1058,College of Engineering,Department of Public Health,RES,20250116,83500.00,ACT,LA-2025-00542,53700.00,20250619,20250731,20260731,20260831 235900
LP-2026-00543,I1068,College of Humanities,Department of Public Health,RES,20260728,267700.00,WD,,0.00,20260831,,,20260831 235900
LP-2023-00544,I1009,School of Law and Public Policy,Advanced Technology Agency,INT,20230120,59600.00,CLS,LA-2023-00544,42600.00,20230622,20230816,20260815,20260831 235900
LP-2023-00545,I1060,College of Humanities,National Science Foundation,TRN,20230421,147400.00,ACT,LA-2023-00545,146800.00,20231007,20231215,20251214,20260831 235900
LP-2026-00546,I1129,School of Law and Public Policy,Advanced Technology Agency,TRN,20260421,70000.00,ACT,LA-2026-00546,46500.00,20260831,20261025,20281024,20260831 235900
LP-2026-00547,I1141,School of Business,Department of Public Health,FEL,20260528,250600.00,DCL,,0.00,20260831,,,20260831 235900
LP-2024-00548,I1077,School of Business,Biomedical Discovery Foundation,RES,20240502,511300.00,DCL,,0.00,20240715,,,20260831 235900
LP-2025-00549,I1067,College of Social Innovation,Northstar Analytics,INT,20251122,288200.00,DCL,,0.00,20260519,,,20260831 235900
LP-2024-00550,I1085,School of Business,Helix Medical Devices,RES,20240709,233900.00,DCL,,0.00,20241104,,,20260831 235900
LP-2026-00551,I1106,College of Engineering,Advanced Technology Agency,EQP,20260726,69700.00,REV,,0.00,,,,20260831 235900
LP-2024-00552,I1099,College of Social Innovation,National Health Research Council,RES,20240406,172200.00,DCL,,0.00,20241003,,,20260831 235900
LP-2025-00553,I1099,College of Social Innovation,Northstar Analytics,EQP,20250205,329800.00,AWD,LA-2025-00553,207600.00,20250724,20250907,20260907,20260831 235900
LP-2025-00554,I1099,College of Social Innovation,Vertex Mobility Systems,RES,20250207,56700.00,DCL,,0.00,20250411,,,20260831 235900
LP-2024-00555,I1123,College of Social Innovation,Urban Resilience Network,RES,20241228,35100.00,ACT,LA-2024-00555,28700.00,20250412,20250503,20280502,20260831 235900
LP-2024-00556,I1167,College of Health Sciences,Biomedical Discovery Foundation,INT,20240723,204200.00,DCL,,0.00,20241130,,,20260831 235900
LP-2023-00557,I1004,College of Humanities,Helix Medical Devices,RES,20230909,157900.00,DCL,,0.00,20231125,,,20260831 235900
LP-2026-00558,I1060,College of Humanities,Department of Energy and Climate,TRN,20260330,1514300.00,DCL,,0.00,20260712,,,20260831 235900
LP-2025-00559,I1046,College of Science,Interdisciplinary Catalyst Fund,INT,20250903,44300.00,DCL,,0.00,20251211,,,20260831 235900
LP-2025-00560,I1027,College of Social Innovation,Global Health Foundation,RES,20250525,39100.00,ACT,LA-2025-00560,25700.00,20251031,20251226,20271226,20260831 235900
LP-2023-00561,I1146,College of Engineering,Urban Resilience Network,RES,20230111,295700.00,CLS,LA-2023-00561,215400.00,20230416,20230618,20241209,20260831 235900
LP-2024-00562,I1084,College of Humanities,Advanced Technology Agency,INT,20241122,104600.00,DCL,,0.00,20250221,,,20260831 235900
LP-2023-00563,I1104,College of Architecture and Design,Department of Energy and Climate,RES,20231126,80500.00,DCL,,0.00,20240501,,,20260831 235900
LP-2024-00564,I1132,College of Humanities,Ontario Research Fund,INT,20240920,225200.00,CLS,LA-2024-00564,197500.00,20241104,20250116,20260116,20260831 235900
LP-2024-00565,I1095,College of Health Sciences,National Science Foundation,RES,20240907,32200.00,CLS,LA-2024-00565,23000.00,20250211,20250313,20270313,20260831 235900
LP-2025-00566,I1098,College of Engineering,Community Wellbeing Trust,FEL,20250702,92600.00,AWD,LA-2025-00566,58300.00,20251230,20260305,20270305,20260831 235900
LP-2023-00567,I1080,College of Architecture and Design,Ontario Research Fund,RES,20230302,197600.00,ACT,LA-2023-00567,123100.00,20230523,20230712,20260711,20260831 235900
LP-2024-00568,I1067,College of Social Innovation,Apex Biotechnologies,FEL,20240124,110100.00,CLS,LA-2024-00568,80700.00,20240601,20240812,20260812,20260831 235900
LP-2025-00569,I1004,College of Humanities,Biomedical Discovery Foundation,RES,20250605,20100.00,AWD,LA-2025-00569,13300.00,20251211,20251230,20271230,20260831 235900
LP-2025-00570,I1152,College of Architecture and Design,National Health Research Council,INT,20250130,469100.00,DCL,,0.00,20250506,,,20260831 235900
LP-2023-00571,I1169,School of Law and Public Policy,Biomedical Discovery Foundation,TRN,20231216,127800.00,CLS,LA-2023-00571,86600.00,20240621,20240820,20250820,20260831 235900
LP-2024-00572,I1131,College of Social Innovation,National Science Foundation,RES,20241117,283300.00,AWD,LA-2024-00572,213400.00,20250326,20250602,20261124,20260831 235900
LP-2023-00573,I1152,College of Architecture and Design,Massachusetts Innovation Fund,EQP,20231127,40200.00,CLS,LA-2023-00573,29700.00,20240510,20240526,20251117,20260831 235900
LP-2025-00574,I1118,College of Science,Interdisciplinary Catalyst Fund,RES,20250609,116500.00,ACT,LA-2025-00574,115600.00,20250816,20250925,20270319,20260831 235900
LP-2025-00575,I1103,College of Health Sciences,Advanced Technology Agency,TRN,20250408,256300.00,ACT,LA-2025-00575,251700.00,20250710,20250920,20270314,20260831 235900
LP-2024-00576,I1088,College of Architecture and Design,Natural Sciences Research Council,RES,20240916,199800.00,ACT,LA-2024-00576,126000.00,20250206,20250219,20270219,20260831 235900
LP-2024-00577,I1130,College of Engineering,Future Cities Foundation,RES,20240731,113700.00,DCL,,0.00,20241016,,,20260831 235900
LP-2026-00578,I1110,College of Science,Advanced Technology Agency,RES,20260505,86300.00,AWD,LA-2026-00578,82100.00,20260831,20261011,20281010,20260831 235900
LP-2024-00579,I1095,College of Health Sciences,Social Innovation Research Council,RES,20240213,69000.00,ACT,LA-2024-00579,47600.00,20240617,20240804,20250804,20260831 235900
LP-2026-00580,I1126,College of Science,Northstar Analytics,RES,20260217,159700.00,DCL,,0.00,20260413,,,20260831 235900
LP-2024-00581,I1150,College of Science,Department of Energy and Climate,EQP,20240229,167500.00,ACT,LA-2024-00581,166100.00,20240807,20240903,20260225,20260831 235900
LP-2023-00582,I1037,School of Business,Vertex Mobility Systems,RES,20230712,331900.00,CLS,LA-2023-00582,226100.00,20231119,20240103,20250626,20260831 235900
LP-2023-00583,I1124,College of Humanities,Natural Sciences Research Council,EQP,20230303,65100.00,WD,,0.00,20230608,,,20260831 235900
LP-2024-00584,I1149,School of Business,Community Wellbeing Trust,RES,20240104,99500.00,DCL,,0.00,20240422,,,20260831 235900
LP-2023-00585,I1098,College of Engineering,Ontario Research Fund,TRN,20230626,221500.00,CLS,LA-2023-00585,181300.00,20231011,20231218,20251217,20260831 235900
LP-2024-00586,I1022,College of Science,National Health Research Council,EQP,20241007,425000.00,ACT,LA-2024-00586,385300.00,20250410,20250422,20260422,20260831 235900
LP-2023-00587,I1112,College of Architecture and Design,Department of Energy and Climate,RES,20230821,218100.00,CLS,LA-2023-00587,179700.00,20231106,20231216,20251215,20260831 235900
LP-2024-00588,I1008,College of Architecture and Design,Department of Energy and Climate,TRN,20241230,215300.00,DCL,,0.00,20250505,,,20260831 235900
LP-2023-00589,I1132,College of Humanities,Helix Medical Devices,RES,20231227,57400.00,DCL,,0.00,20240429,,,20260831 235900
LP-2025-00590,I1074,College of Engineering,Massachusetts Innovation Fund,RES,20250820,48400.00,ACT,LA-2025-00590,32500.00,20251221,20260214,20280214,20260831 235900
LP-2024-00591,I1104,College of Architecture and Design,Interdisciplinary Catalyst Fund,RES,20240218,66800.00,CLS,LA-2024-00591,53300.00,20240425,20240629,20260629,20260831 235900
LP-2026-00592,I1035,College of Social Innovation,Future Cities Foundation,TRN,20260506,358500.00,ACT,LA-2026-00592,278800.00,20260822,20261009,20271009,20260831 235900
LP-2023-00593,I1122,College of Engineering,International Research Consortium,FEL,20230928,589400.00,CLS,LA-2023-00593,413400.00,20231222,20240123,20260122,20260831 235900
LP-2024-00594,I1145,School of Law and Public Policy,Future Cities Foundation,RES,20240917,181200.00,DCL,,0.00,20250325,,,20260831 235900
LP-2025-00595,I1119,College of Health Sciences,National Science Foundation,RES,20250412,51900.00,ACT,LA-2025-00595,33700.00,20250914,20251007,20271007,20260831 235900
LP-2025-00596,I1051,College of Social Innovation,International Research Consortium,FEL,20250728,301100.00,DCL,,0.00,20250914,,,20260831 235900
LP-2023-00597,I1027,College of Social Innovation,Internal Strategic Research Fund,RES,20231009,164300.00,DCL,,0.00,20231225,,,20260831 235900
LP-2023-00598,I1002,College of Engineering,Global Development Partnership,RES,20231007,185500.00,CLS,LA-2023-00598,185400.00,20240324,20240520,20270520,20260831 235900
LP-2026-00599,I1067,College of Social Innovation,Biomedical Discovery Foundation,RES,20260310,72300.00,DCL,,0.00,20260708,,,20260831 235900
LP-2023-00600,I1010,College of Engineering,Biomedical Discovery Foundation,TRN,20230314,32200.00,ACT,LA-2023-00600,26400.00,20230726,20230812,20240811,20260831 235900
LP-2023-00601,I1053,School of Business,National Science Foundation,FEL,20230915,111900.00,CLS,LA-2023-00601,110000.00,20240304,20240423,20260423,20260831 235900
LP-2024-00602,I1031,College of Health Sciences,Interdisciplinary Catalyst Fund,TRN,20240322,652400.00,CLS,LA-2024-00602,445100.00,20240917,20241008,20271008,20260831 235900
LP-2024-00603,I1039,College of Health Sciences,Department of Public Health,TRN,20240303,345400.00,DCL,,0.00,20240429,,,20260831 235900
LP-2024-00604,I1159,College of Health Sciences,National Science Foundation,RES,20241120,272900.00,DCL,,0.00,20250222,,,20260831 235900
LP-2024-00605,I1137,School of Law and Public Policy,Community Wellbeing Trust,FEL,20240325,98100.00,DCL,,0.00,20240608,,,20260831 235900
LP-2023-00606,I1170,College of Engineering,Civic Data Collaborative,RES,20230129,34600.00,DCL,,0.00,20230330,,,20260831 235900
LP-2025-00607,I1049,School of Law and Public Policy,Apex Biotechnologies,RES,20250222,814500.00,DCL,,0.00,20250617,,,20260831 235900
LP-2023-00608,I1023,College of Health Sciences,Advanced Technology Agency,RES,20230809,87100.00,CLS,LA-2023-00608,68100.00,20240105,20240203,20250727,20260831 235900
LP-2023-00609,I1102,College of Science,Internal Strategic Research Fund,RES,20230714,123800.00,CLS,LA-2023-00609,84400.00,20231230,20240212,20260211,20260831 235900
LP-2025-00610,I1124,College of Humanities,Faculty Seed Grant Program,RES,20251101,249300.00,DCL,,0.00,20260110,,,20260831 235900
LP-2023-00611,I1011,College of Social Innovation,Natural Sciences Research Council,RES,20231227,144900.00,CLS,LA-2023-00611,115700.00,20240211,20240321,20250321,20260831 235900
LP-2024-00612,I1133,School of Business,Future Cities Foundation,FEL,20241103,164400.00,DCL,,0.00,20250101,,,20260831 235900
LP-2023-00613,I1164,College of Humanities,Northstar Analytics,EQP,20230226,31400.00,CLS,LA-2023-00613,26700.00,20230629,20230817,20250207,20260831 235900
LP-2023-00614,I1008,College of Architecture and Design,Northstar Analytics,FEL,20231018,34100.00,CLS,LA-2023-00614,24600.00,20231223,20240207,20260206,20260831 235900
LP-2023-00615,I1098,College of Engineering,Global Development Partnership,RES,20230124,50400.00,CLS,LA-2023-00615,37300.00,20230308,20230503,20260502,20260831 235900
LP-2025-00616,I1151,College of Health Sciences,National Health Research Council,RES,20250828,24400.00,DCL,,0.00,20260119,,,20260831 235900
LP-2026-00617,I1045,School of Business,Future Cities Foundation,RES,20260726,294900.00,REV,,0.00,,,,20260831 235900
LP-2024-00618,I1107,College of Social Innovation,Massachusetts Innovation Fund,RES,20240513,73100.00,ACT,LA-2024-00618,70000.00,20240622,20240828,20250828,20260831 235900
LP-2023-00619,I1170,College of Engineering,Biomedical Discovery Foundation,INT,20230513,73200.00,DCL,,0.00,20231117,,,20260831 235900
LP-2025-00620,I1135,College of Health Sciences,Faculty Seed Grant Program,TRN,20251126,912400.00,ACT,LA-2025-00620,688300.00,20260518,20260708,20290707,20260831 235900
LP-2026-00621,I1030,College of Science,Global Health Foundation,RES,20260612,118000.00,ACT,LA-2026-00621,105000.00,20260831,20260928,20280321,20260831 235900
LP-2024-00622,I1167,College of Health Sciences,Social Innovation Research Council,TRN,20241231,265200.00,ACT,LA-2024-00622,219200.00,20250302,20250428,20260428,20260831 235900
LP-2024-00623,I1083,College of Social Innovation,Interdisciplinary Catalyst Fund,FEL,20240608,154600.00,DCL,,0.00,20241011,,,20260831 235900
LP-2024-00624,I1030,College of Science,Advanced Technology Agency,RES,20240222,260000.00,CLS,LA-2024-00624,163900.00,20240419,20240523,20250523,20260831 235900
LP-2024-00625,I1073,School of Law and Public Policy,Massachusetts Innovation Fund,RES,20240305,74500.00,DCL,,0.00,20240908,,,20260831 235900
LP-2023-00626,I1136,College of Architecture and Design,Urban Resilience Network,EQP,20231227,120200.00,DCL,,0.00,20240609,,,20260831 235900
LP-2024-00627,I1101,School of Business,National Health Research Council,FEL,20240817,122100.00,CLS,LA-2024-00627,104500.00,20250220,20250308,20260830,20260831 235900
LP-2023-00628,I1013,School of Business,Civic Data Collaborative,RES,20230914,371500.00,ACT,LA-2023-00628,347600.00,20240309,20240512,20260512,20260831 235900
LP-2025-00629,I1083,College of Social Innovation,Natural Sciences Research Council,RES,20251016,109400.00,DCL,,0.00,20260311,,,20260831 235900
LP-2026-00630,I1060,College of Humanities,National Health Research Council,RES,20260715,38300.00,DCL,,0.00,20260831,,,20260831 235900
LP-2026-00631,I1084,College of Humanities,National Science Foundation,TRN,20260331,44200.00,ACT,LA-2026-00631,29800.00,20260603,20260724,20280115,20260831 235900
LP-2025-00632,I1068,College of Humanities,Apex Biotechnologies,RES,20250210,92500.00,ACT,LA-2025-00632,80700.00,20250628,20250811,20280810,20260831 235900
LP-2023-00633,I1006,College of Science,Northstar Analytics,EQP,20230924,147400.00,WD,,0.00,20240217,,,20260831 235900
LP-2024-00634,I1006,College of Science,National Science Foundation,RES,20240907,384700.00,CLS,LA-2024-00634,332200.00,20250128,20250219,20270219,20260831 235900
LP-2025-00635,I1002,College of Engineering,Faculty Seed Grant Program,RES,20250315,350800.00,DCL,,0.00,20250504,,,20260831 235900
LP-2023-00636,I1134,College of Science,International Research Consortium,RES,20231208,25700.00,CLS,LA-2023-00636,24700.00,20240415,20240620,20260620,20260831 235900
LP-2026-00637,I1009,School of Law and Public Policy,Biomedical Discovery Foundation,RES,20260124,60900.00,AWD,LA-2026-00637,50700.00,20260522,20260726,20280117,20260831 235900
LP-2023-00638,I1051,College of Social Innovation,Internal Strategic Research Fund,RES,20231231,26300.00,WD,,0.00,20240220,,,20260831 235900
LP-2026-00639,I1104,College of Architecture and Design,Interdisciplinary Catalyst Fund,RES,20260803,107800.00,SUB,,0.00,,,,20260831 235900
LP-2023-00640,I1171,College of Social Innovation,Department of Public Health,RES,20230513,92800.00,DCL,,0.00,20230628,,,20260831 235900
LP-2024-00641,I1127,College of Health Sciences,Civic Data Collaborative,RES,20240906,88900.00,CLS,LA-2024-00641,78400.00,20250225,20250401,20260923,20260831 235900
LP-2026-00642,I1094,College of Science,National Health Research Council,RES,20260731,46500.00,REV,,0.00,,,,20260831 235900
LP-2024-00643,I1132,College of Humanities,Department of Public Health,INT,20241203,339000.00,DCL,,0.00,20250326,,,20260831 235900
LP-2025-00644,I1111,College of Health Sciences,Northstar Analytics,RES,20250325,113200.00,ACT,LA-2025-00644,89600.00,20250902,20251013,20271013,20260831 235900
LP-2023-00645,I1099,College of Social Innovation,Department of Public Health,TRN,20230817,81100.00,DCL,,0.00,20240113,,,20260831 235900
LP-2025-00646,I1055,College of Health Sciences,Internal Strategic Research Fund,RES,20250205,222900.00,ACT,LA-2025-00646,183800.00,20250728,20250928,20260928,20260831 235900
LP-2026-00647,I1022,College of Science,Global Health Foundation,FEL,20260629,190500.00,AWD,LA-2026-00647,170000.00,20260831,20261021,20281020,20260831 235900
LP-2024-00648,I1124,College of Humanities,Vertex Mobility Systems,FEL,20240807,143700.00,DCL,,0.00,20241013,,,20260831 235900
LP-2023-00649,I1081,School of Law and Public Policy,Global Health Foundation,RES,20231221,117000.00,ACT,LA-2023-00649,89600.00,20240512,20240603,20251125,20260831 235900
LP-2023-00650,I1135,College of Health Sciences,Future Cities Foundation,RES,20231219,270800.00,DCL,,0.00,20240414,,,20260831 235900
LP-2025-00651,I1134,College of Science,Civic Data Collaborative,INT,20251104,164700.00,DCL,,0.00,20260428,,,20260831 235900
LP-2025-00652,I1154,College of Engineering,Helix Medical Devices,RES,20250811,287800.00,WD,,0.00,20251014,,,20260831 235900
LP-2024-00653,I1002,College of Engineering,International Research Consortium,RES,20240417,118200.00,ACT,LA-2024-00653,83700.00,20240717,20240917,20260917,20260831 235900
LP-2023-00654,I1021,School of Business,Urban Resilience Network,RES,20230303,113100.00,DCL,,0.00,20230623,,,20260831 235900
LP-2025-00655,I1131,College of Social Innovation,Community Wellbeing Trust,INT,20250325,106000.00,ACT,LA-2025-00655,67700.00,20250918,20251118,20270512,20260831 235900
LP-2025-00656,I1106,College of Engineering,Natural Sciences Research Council,RES,20250328,36700.00,DCL,,0.00,20250502,,,20260831 235900
LP-2026-00657,I1167,College of Health Sciences,Natural Sciences Research Council,EQP,20260810,84400.00,SUB,,0.00,,,,20260831 235900
LP-2024-00658,I1003,College of Social Innovation,Education Access Foundation,RES,20240121,172700.00,CLS,LA-2024-00658,113900.00,20240529,20240705,20270705,20260831 235900
LP-2025-00659,I1059,College of Social Innovation,Helix Medical Devices,TRN,20250109,272700.00,ACT,LA-2025-00659,196500.00,20250706,20250817,20270208,20260831 235900
LP-2026-00660,I1024,College of Architecture and Design,Massachusetts Innovation Fund,TRN,20260521,74700.00,DCL,,0.00,20260831,,,20260831 235900
LP-2023-00661,I1119,College of Health Sciences,Natural Sciences Research Council,TRN,20230913,154300.00,ACT,LA-2023-00661,125500.00,20231114,20231229,20241228,20260831 235900
LP-2024-00662,I1148,College of Humanities,Global Development Partnership,INT,20240628,76300.00,CLS,LA-2024-00662,71200.00,20250103,20250206,20260731,20260831 235900
LP-2025-00663,I1105,School of Law and Public Policy,Department of Energy and Climate,RES,20251210,282300.00,CLS,LA-2025-00663,247800.00,20260322,20260605,20280604,20260831 235900
LP-2024-00664,I1034,College of Engineering,Education Access Foundation,RES,20241205,563000.00,CLS,LA-2024-00664,503200.00,20250129,20250213,20270213,20260831 235900
LP-2025-00665,I1158,College of Science,Interdisciplinary Catalyst Fund,RES,20251230,129400.00,ACT,LA-2025-00665,100900.00,20260530,20260809,20270809,20260831 235900
LP-2025-00666,I1037,School of Business,Future Cities Foundation,RES,20250211,25100.00,ACT,LA-2025-00666,15800.00,20250611,20250725,20270725,20260831 235900
LP-2023-00667,I1081,School of Law and Public Policy,Education Access Foundation,INT,20230416,23500.00,DCL,,0.00,20230822,,,20260831 235900
LP-2024-00668,I1090,College of Engineering,Faculty Seed Grant Program,RES,20241207,187800.00,DCL,,0.00,20250511,,,20260831 235900
LP-2023-00669,I1120,College of Architecture and Design,Natural Sciences Research Council,RES,20230907,105900.00,DCL,,0.00,20240120,,,20260831 235900
LP-2023-00670,I1149,School of Business,Helix Medical Devices,RES,20230321,424200.00,DCL,,0.00,20230920,,,20260831 235900
LP-2026-00671,I1078,College of Science,Department of Public Health,RES,20260513,143300.00,ACT,LA-2026-00671,117100.00,20260826,20261105,20291104,20260831 235900
LP-2026-00672,I1172,College of Humanities,National Science Foundation,RES,20260216,457100.00,CLS,LA-2026-00672,406800.00,20260701,20260817,20270817,20260831 235900
LP-2024-00673,I1085,School of Business,Interdisciplinary Catalyst Fund,RES,20240830,64500.00,DCL,,0.00,20241128,,,20260831 235900
LP-2024-00674,I1115,College of Social Innovation,Advanced Technology Agency,EQP,20241027,145800.00,CLS,LA-2024-00674,93000.00,20250309,20250501,20261023,20260831 235900
LP-2025-00675,I1125,School of Business,Community Wellbeing Trust,TRN,20250128,136700.00,ACT,LA-2025-00675,118400.00,20250328,20250407,20270407,20260831 235900
LP-2026-00676,I1049,School of Law and Public Policy,Global Development Partnership,RES,20260208,194700.00,DCL,,0.00,20260523,,,20260831 235900
LP-2026-00677,I1077,School of Business,Northstar Analytics,RES,20260417,53200.00,AWD,LA-2026-00677,47900.00,20260721,20260912,20290911,20260831 235900
LP-2025-00678,I1148,College of Humanities,Department of Public Health,FEL,20250129,90700.00,ACT,LA-2025-00678,69000.00,20250723,20250915,20270309,20260831 235900
LP-2024-00679,I1041,School of Law and Public Policy,Civic Data Collaborative,INT,20241102,96900.00,DCL,,0.00,20241225,,,20260831 235900
LP-2025-00680,I1058,College of Engineering,Vertex Mobility Systems,EQP,20250613,31600.00,ACT,LA-2025-00680,26100.00,20250811,20251001,20270325,20260831 235900
LP-2024-00681,I1009,School of Law and Public Policy,Biomedical Discovery Foundation,RES,20240531,318900.00,DCL,,0.00,20240916,,,20260831 235900
LP-2026-00682,I1149,School of Business,Department of Energy and Climate,RES,20260314,75200.00,WD,,0.00,20260515,,,20260831 235900
LP-2025-00683,I1003,College of Social Innovation,Department of Public Health,RES,20251010,142100.00,ACT,LA-2025-00683,96200.00,20251210,20260109,20270109,20260831 235900
LP-2026-00684,I1165,School of Business,Department of Public Health,FEL,20260514,56600.00,REV,,0.00,,,,20260831 235900
LP-2023-00685,I1180,College of Humanities,International Research Consortium,RES,20231121,220400.00,CLS,LA-2023-00685,199900.00,20240404,20240529,20260529,20260831 235900
LP-2024-00686,I1089,School of Law and Public Policy,National Science Foundation,RES,20240526,77000.00,DCL,,0.00,20241011,,,20260831 235900
LP-2025-00687,I1104,College of Architecture and Design,Department of Public Health,FEL,20251222,144100.00,ACT,LA-2025-00687,142800.00,20260404,20260421,20271013,20260831 235900
LP-2026-00688,I1063,College of Health Sciences,Global Health Foundation,TRN,20260226,88100.00,DCL,,0.00,20260727,,,20260831 235900
LP-2025-00689,I1041,School of Law and Public Policy,Social Innovation Research Council,TRN,20250622,46000.00,ACT,LA-2025-00689,40700.00,20250825,20251031,20281030,20260831 235900
LP-2026-00690,I1173,School of Business,Apex Biotechnologies,TRN,20260512,31100.00,WD,,0.00,20260713,,,20260831 235900
LP-2025-00691,I1167,College of Health Sciences,Internal Strategic Research Fund,RES,20250905,195900.00,DCL,,0.00,20251108,,,20260831 235900
LP-2026-00692,I1148,College of Humanities,Department of Energy and Climate,FEL,20260717,185500.00,ACT,LA-2026-00692,154500.00,20260831,20260924,20280317,20260831 235900
LP-2026-00693,I1051,College of Social Innovation,Internal Strategic Research Fund,RES,20260627,167000.00,DCL,,0.00,20260831,,,20260831 235900
LP-2023-00694,I1133,School of Business,Helix Medical Devices,RES,20231017,41900.00,ACT,LA-2023-00694,34200.00,20240224,20240409,20250409,20260831 235900
LP-2025-00695,I1138,College of Engineering,Global Development Partnership,RES,20250624,182400.00,ACT,LA-2025-00695,129700.00,20251007,20251217,20270610,20260831 235900
LP-2026-00696,I1108,College of Humanities,Interdisciplinary Catalyst Fund,RES,20260209,469900.00,DCL,,0.00,20260519,,,20260831 235900
LP-2026-00697,I1063,College of Health Sciences,Northstar Analytics,RES,20260227,138000.00,DCL,,0.00,20260426,,,20260831 235900
LP-2024-00698,I1053,School of Business,Interdisciplinary Catalyst Fund,INT,20241212,293900.00,AWD,LA-2024-00698,242200.00,20250405,20250425,20280424,20260831 235900
LP-2023-00699,I1080,College of Architecture and Design,Department of Public Health,FEL,20230526,202600.00,ACT,LA-2023-00699,172900.00,20230913,20231102,20250425,20260831 235900
LP-2024-00700,I1103,College of Health Sciences,Global Health Foundation,RES,20240302,739200.00,DCL,,0.00,20240427,,,20260831 235900
LP-2024-00701,I1131,College of Social Innovation,National Health Research Council,RES,20240502,90200.00,DCL,,0.00,20240816,,,20260831 235900
LP-2025-00702,I1021,School of Business,Vertex Mobility Systems,RES,20251228,48600.00,ACT,LA-2025-00702,41700.00,20260625,20260819,20280818,20260831 235900
LP-2026-00703,I1108,College of Humanities,National Science Foundation,RES,20260306,62600.00,CLS,LA-2026-00703,61900.00,20260727,20260831,20280222,20260831 235900
LP-2025-00704,I1161,School of Law and Public Policy,Helix Medical Devices,RES,20250725,106500.00,AWD,LA-2025-00704,105300.00,20251029,20251124,20281123,20260831 235900
LP-2024-00705,I1152,College of Architecture and Design,Advanced Technology Agency,RES,20240203,88400.00,DCL,,0.00,20240422,,,20260831 235900
LP-2026-00706,I1121,School of Law and Public Policy,Social Innovation Research Council,RES,20260507,43400.00,AWD,LA-2026-00706,31500.00,20260818,20261009,20271009,20260831 235900
LP-2023-00707,I1148,College of Humanities,Internal Strategic Research Fund,FEL,20231119,33300.00,ACT,LA-2023-00707,27400.00,20240302,20240427,20251019,20260831 235900
LP-2024-00708,I1165,School of Business,Urban Resilience Network,RES,20241220,410800.00,ACT,LA-2024-00708,295200.00,20250510,20250724,20260724,20260831 235900
LP-2026-00709,I1133,School of Business,National Science Foundation,FEL,20260502,69600.00,REV,,0.00,,,,20260831 235900
LP-2024-00710,I1046,College of Science,Faculty Seed Grant Program,RES,20240307,168200.00,DCL,,0.00,20240715,,,20260831 235900
LP-2024-00711,I1142,College of Science,National Science Foundation,RES,20240810,250500.00,DCL,,0.00,20250113,,,20260831 235900
LP-2024-00712,I1076,College of Humanities,Community Wellbeing Trust,RES,20241105,150600.00,DCL,,0.00,20241220,,,20260831 235900
